track_id,genre,bpm
006655,Electronic,126.956
020447,Rock,141.214
035456,Jazz,130.003
006662,Electronic,102.988
018197,Rock,110.4
004787,Rock,167.849
066851,Electronic,169.985
037726,Rock,135.006
027569,Electronic,137.958
115386,Electronic,187.541
076500,Rock,116.917
026018,Hip-Hop,74.411
016023,Blues,105.322
015857,Hip-Hop,152.889
050369,Jazz,119.533
028118,Classical,35.982
055550,Hip-Hop,112.048
011777,Hip-Hop,83.993
004683,Hip-Hop,87.88
013197,Pop,116.015
048403,Classical,122.387
047755,Jazz,137.971
077572,Pop,120.039
013328,Pop,114.867
016237,Jazz,82.584
014053,Jazz,240.122
001649,Pop,241.259
021799,Blues,89.543
011397,Classical,111.184
023141,Classical,89.984
010806,Pop,46.701
011758,Classical,101.372
019133,Blues,155.13
001047,Blues,97.098
021800,Blues,118.774
